date,infected,Recovered,R Number,,,
09/12/2022,10435,24049496,0.79,,,
10/12/2022,9728,24054739,0.77,,,
11/12/2022,8749,24059931,0.74,,,
12/12/2022,7780,24064467,0.72,,,
13/12/2022,8199,24068680,0.7,,,
14/12/2022,11612,24072247,0.67,,,
15/12/2022,14090,24076879,0.65,,,
16/12/2022,13642,24083859,0.63,,,
17/12/2022,12623,24090969,0.6,,,
18/12/2022,12166,24097501,0.58,,,
19/12/2022,10808,24103592,0.56,,,
20/12/2022,10489,24109667,0.53,,,
21/12/2022,14787,24114400,0.5,,,
22/12/2022,17613,24120156,0.48,,,
23/12/2022,16359,24129187,0.45,,,
24/12/2022,14644,24137769,0.43,,,
25/12/2022,12604,24145546,0.4,,,
26/12/2022,9869,24152413,0.37,,,
27/12/2022,7826,24158150,0.34,,,
28/12/2022,8632,24162282,0.3,,,
29/12/2022,11539,24165976,0.27,,,
30/12/2022,15014,24170914,0.28,,,
31/12/2022,16122,24177515,0.29,,,
01/01/2023,13827,24185928,0.29,,,
02/01/2023,10400,24193637,0.3,,,
03/01/2023,7938,24199755,,,,
04/01/2023,8707,24204037,,,,
05/01/2023,11310,24207693,,,,
06/01/2023,11846,24212744,,,,
07/01/2023,10252,24219003,,,,
08/01/2023,8498,24224590,,,,
09/01/2023,6550,24229255,,,,
10/01/2023,5513,24233088,,,,
11/01/2023,6350,24235805,,,,
12/01/2023,6659,24238601,,,,
13/01/2023,5744,24242155,,,,
14/01/2023,5093,24245260,,,,
15/01/2023,4562,24247899,,,,
16/01/2023,3587,24250353,,,,
17/01/2023,3324,24252461,,,,
18/01/2023,4399,24253940,,,,
19/01/2023,4748,24255785,,,,
20/01/2023,4303,24258339,,,,
21/01/2023,4134,24260533,,,,
22/01/2023,3891,24262642,,,,
23/01/2023,3384,24264667,,,,
24/01/2023,3420,24266533,,,,
25/01/2023,4548,24268051,,,,
26/01/2023,5403,24269953,,,,
27/01/2023,5378,24272599,,,,
28/01/2023,5130,24275356,,,,
29/01/2023,4953,24277977,,,,
30/01/2023,4393,24280486,,,,
31/01/2023,4401,24282930,,,,
01/02/2023,6004,24284879,,,,
02/02/2023,7091,24287331,,,,
03/02/2023,6996,24290883,,,,
04/02/2023,6670,24294422,,,,
05/02/2023,6167,24297879,,,,
06/02/2023,5344,24301092,,,,
07/02/2023,5193,24304046,,,,
08/02/2023,6770,24306436,,,,
09/02/2023,7660,24309239,,,,
10/02/2023,7320,24313206,,,,
11/02/2023,6946,24316899,,,,
12/02/2023,6574,24320526,,,,
13/02/2023,5809,24323845,,,,
14/02/2023,5723,24327100,,,,
15/02/2023,8024,24329654,,,,
16/02/2023,9508,24332823,,,,
17/02/2023,8880,24337678,,,,
18/02/2023,8488,24342331,,,,
19/02/2023,8290,24346558,,,,
20/02/2023,7147,24350819,,,,
21/02/2023,6792,24354848,,,,
22/02/2023,8534,24357966,,,,
23/02/2023,9499,24361640,,,,
24/02/2023,8781,24366500,,,,
25/02/2023,7863,24371139,,,,
26/02/2023,7057,24375281,,,,
27/02/2023,6017,24379002,,,,
28/02/2023,5778,24382338,,,,
01/03/2023,7449,24385019,,,,
02/03/2023,8504,24388116,,,,
03/03/2023,8138,24392468,,,,
04/03/2023,7549,24396620,,,,
05/03/2023,6906,24400606,,,,
06/03/2023,5842,24404169,,,,
07/03/2023,5569,24407512,,,,
08/03/2023,7296,24410011,,,,
09/03/2023,7949,24413081,,,,
10/03/2023,6089,24417307,,,,
11/03/2023,2366,24421030,,,,
12/03/2023,0,24423396,,,,
13/03/2023,0,24423396,,,,
14/03/2023,0,24423396,,,,
15/03/2023,0,24423396,,,,
16/03/2023,0,24423396,,,,
